Gene_ID,20H_20h_embryo_F,36H_4th_instar_36h_M,36H_4th_instar_36h_F,10D_Adult_10D_M,10D_Adult_10D_F,20D_Adult_20D_M,20D_Adult_20D_F,12H_4th_instar_12h_biololgical_replicate_1_M,12H_4th_instar_12h_biololgical_replicate_2_M,12H_4th_instar_12h_biololgical_replicate_3_M,12H_4th_instar_12h_biololgical_replicate_2_F,12H_4th_instar_12h_biololgical_replicate_3_F
AGAP006171,36.90711761,11.75583899,15.80150057,11.65675448,17.09915415,11.35278099,13.95386188,15.89726703,10.466022,8.985798049,11.51326981,6.128992912
AGAP006172,2.84514409,2.582182611,0.145435892,0.777028252,0.389135661,1.037191187,0.312744907,0.549222039,0.652453871,0.185497016,0.474304881,0.399598945
AGAP006173,32.24726412,26.66183933,10.75894832,12.50470302,15.45330197,13.91276639,11.18977556,17.16758015,26.99071418,14.47754274,18.41644822,17.48692697
AGAP006174,1.089296042,1.89653292,0.185151452,2.14013668,0.415720808,1.388792124,0.164072442,0.338132825,0.359405326,0.374664939,0.609633854,0.251565439
AGAP006175,6.143452231,2.169617155,2.301000166,3.384167102,3.308184553,3.870801802,2.261580432,3.191116229,1.554844388,2.042588328,2.650364629,2.401791891
AGAP006176,0.34584061,0.024275923,0.058186578,0.024573788,0.013746069,0.014743036,0.097218837,0.010182386,0.076057361,0.066072167,0.062969521,0.031054498
AGAP006177,0.261628189,69.28459079,13.99603225,51.38145129,71.94361421,57.84715567,12.04910869,62.59590176,45.54078009,33.31087817,25.82892111,43.52141434
AGAP006178,0.006365065,0.493534925,0.176165358,2.794211962,1.321227901,1.995918707,0.195425831,0.850608643,0.589990061,0.195044343,0.219435406,0.220887197
AGAP006179,0.995139694,258.2388317,167.6497906,17.94751695,11.59140554,8.356540055,261.8909374,6.7731662,365.3106852,345.5856886,363.4518246,364.4494058
AGAP006180,0.020657421,0.044691317,0.156924257,0.388268656,0.203498875,0.247368411,0.139393922,0.151196565,0.111324182,0.090429178,0.092488821,0.055658045
AGAP006181,0,0.055279586,0.133299485,0.407633009,364.2184942,0.583084328,0.032328588,450.6784622,0.236055621,0.100668297,0.042900478,0.165226922
AGAP006182,0.013454257,0,0.02585919,243.0869684,1.788722918,268.5367041,0.01985983,0.753948458,0.036252933,0.041227809,0,0.025375208
AGAP006183,0.658195424,0.338824092,1.818673983,7.023217126,2.33578166,5.975437545,1.563421652,2.658476192,0.354137646,1.820921434,1.254170693,1.470037804
AGAP006184,1.837796038,6.014144148,4.65216509,8.030838379,5.76943035,9.470868357,3.007762948,6.008505498,7.824910286,2.85125116,4.250919417,3.38619684
AGAP006185,0.001643575,0.201336945,0.054053386,0.145569036,0.202342577,0.098201071,0.12292144,0.192976676,0.094478208,0.087297563,0.158825843,0.231454782
AGAP006186,6.184934284,38.82190916,224.0224741,77.96670261,32.49368413,37.8075893,131.6375164,19.75758548,18.94130078,71.0881917,52.03942273,25.25421861
AGAP006187,0.129812114,0.33360642,0.189015087,1.613253243,0.799986146,2.650337525,0.174196061,1.435985357,0.1907907,0.216972307,0.184928446,0.089029187
AGAP006189,0,0,0,0,0,0,0,0.08109987,0,0.465648331,0,0
AGAP006191,0.187865919,2.556047808,2.85424976,7.044881212,29.42807769,18.27550817,0.686669635,34.86764643,0.91600051,0.301544846,0.420563078,0.506174009
AGAP006192,8.725324516,18.18983891,6.213621044,1.705672509,1.795132314,1.899652075,6.786166905,1.948869744,12.64814513,9.899445906,9.843670963,14.00866231
AGAP006193,11.53620265,135.4863313,64.53942565,20.65638905,27.88913775,23.04219877,34.62956804,22.72031588,92.2464697,44.13485802,37.5986542,58.24687351
AGAP006194,0.019738497,1.673968158,0.320361514,277.4333055,302.9233751,276.8060931,0.116543984,224.1212704,0,0,0,0.446730086
AGAP006195,0.01888712,0.406797516,0.161338644,81.12698625,41.13279583,93.18559226,0.260206602,51.97894107,0.814271318,0.96459501,0.394625968,1.187392682
AGAP006196,0.026687334,0,0.039894764,0.2055355,0.374298747,0.206350565,0.052524233,0.479510298,0,0.027259285,0,0.033555508
AGAP006197,0.019761939,0.02660248,0.084405787,0.312853076,1.116370216,0.507025975,0,2.467959582,0,0.121112808,0,0.049695627
AGAP006198,0,0.068541274,0.008698858,0.008714224,0.031738783,0.050106656,0.160337133,0.050724643,0,0.083212554,0.053192393,0.051216301
AGAP006199,0.007138375,0.014413956,0.018293352,2.94126944,2.753247487,2.905264825,0,2.598222733,0,0.04374817,0,0
AGAP006200,0,0,0.007967452,0,0,0,0,0,0,0,0,0
AGAP006201,0,0.041582837,0,0.035245155,0.024069232,0.050664775,0.040530767,0.043962553,0.073986493,0.084139426,0.107569764,0.05178678
AGAP006202,0.140418167,0,0.019991469,0.080107132,8.534116721,0.115153694,0.092120561,9.833844008,0,0.047809182,0.061122623,0
AGAP006203,13.86907282,4.494446358,3.945150169,6.209963266,8.869793185,7.946000506,2.608751834,9.755428597,3.564102819,3.797740068,3.265895645,2.746256048
AGAP006204,33.18130807,82.6855337,26.70930774,26.00328959,49.98332618,47.9858683,44.29757571,57.64454146,114.065926,55.69775682,85.383839,92.96261804
AGAP006205,24.87287518,13.39692355,6.556399526,5.474203558,10.13843778,4.862370036,9.243284595,10.73985125,16.20349763,8.83914749,15.48659224,8.795226168
AGAP006207,0.015171,97.27393299,54.76019367,0.23368232,0.304982268,0.246339454,71.73218461,0.323867096,127.6071102,151.459252,79.23748888,112.8040715
AGAP006208,0.025390976,202.4936671,230.1666903,0.141231604,0.082434465,0.121960665,179.8522055,0.13551021,85.90110264,48.67161939,35.27938088,167.5025745
AGAP006209,0.116564293,199.154909,111.3217431,12.01964726,44.37187888,8.524729742,128.491001,30.9044003,252.2810685,170.9935152,196.2341266,223.874884
